ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
1172	ŽILVINAS ŠILGALIS	3. Lietuvos laisvės sąjunga (liberalai)	4	-	5. Fabijoniškių	3. Lietuvos laisvės sąjunga (liberalai)	I	496740	44507	9917	2896	0	33191,07	4629	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102780.0%26rnkId%3D426			
1173	SAULIUS ŠILINIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	140	-	53. Nalšios	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	11400	0	9684	0	45500	33592,18	2232	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104164.0%26rnkId%3D426			
1174	ALBERTAS ŠILKAITIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	121	-			I	32063	32385	16825	0	21406	17234,66	2340	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102688.0%26rnkId%3D426			
1175	ANDRIUS ŠIMAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	132	-			I	188000	0	18500	0	24095	27021,39	4053	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102610.0%26rnkId%3D426			
1176	AUDRYS ŠIMAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	37	-	48. Biržų-Kupiškio	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	93945	2896	51500	0	0	126251,61	18096	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102504.0%26rnkId%3D426			
1177	VITALIJA ŠIMKIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	37	-	39. Akmenės-Mažeikių	3. Lietuvos laisvės sąjunga (liberalai)	I	142000	2896	500	21932	79200	3581,31	182	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102814.0%26rnkId%3D426			
1178	MINDAUGAS ŠIMKŪNAS	13. Politinė partija „Lietuvos sąrašas“	5	-	59. Kaišiadorių-Elektrėnų	13. Politinė partija „Lietuvos sąrašas“	I	142500	8977	16000	0	0	37031,7	4110	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104368.0%26rnkId%3D426			
1179	IZIDORIUS ŠIMKUS	6. Lietuvos valstiečių ir žaliųjų sąjunga	87	-			I	176356	1448	11136	0	5497	24379,22	3642	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102642.0%26rnkId%3D426			
1180	JONAS ŠIMKUS	6. Lietuvos valstiečių ir žaliųjų sąjunga	116	-			I	70000	0	976	0	2615	14198,18	2039	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102574.0%26rnkId%3D426			
1181	VIDMANTAS ŠIMKUS	3. Lietuvos laisvės sąjunga (liberalai)	29	-	25. Aušros	3. Lietuvos laisvės sąjunga (liberalai)	I	158500	3669	1200	103449	79200	30211,76	2298	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102794.0%26rnkId%3D426			
1182	INGRIDA ŠIMONYTĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	4	-	3. Antakalnio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	22330	0	91692	3000	0	129900,02	10913	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104184.0%26rnkId%3D426			
1183	DARIUS ŠINKŪNAS	1. Lietuvos socialdemokratų partija	135	-			I	203761	43698	16821	35748	7000	40688,91	5198	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103950.0%26rnkId%3D426			
1184	AGNĖ ŠIRINSKIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	21	-	56. Šalčininkų-Vilniaus	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	3000	0	5600	0	3832	16611,73	1382	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102466.0%26rnkId%3D426			
1185	MARIJUS ŠIRVAITIS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	18	-			I	1200	0	8000	0	0	14519,54	2178	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099954.0%26rnkId%3D426			
1186	SIGITAS ŠIUPŠINSKAS	3. Lietuvos laisvės sąjunga (liberalai)	52	-			I	110150	0	3500	0	0	16413,51	2366	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102932.0%26rnkId%3D426			
1187	MARTYNAS ŠIURKUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	141	-	25. Aušros	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	7200	0	3000	0	0	21265,64	2974	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104112.0%26rnkId%3D426			
1188	JŪRATĖ ŠIVICKIENĖ	5. Partija Tvarka ir teisingumas	53	-	45. Kuršėnų-Dainų	5. Partija Tvarka ir teisingumas	I	51000	0	500	0	0	1780,9	29	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102212.0%26rnkId%3D426			
1189	VYTAUTAS ŠKADAUSKAS	5. Partija Tvarka ir teisingumas	116	-			I	10000	0	0	0	0	1774,78	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102336.0%26rnkId%3D426			
1190	LAIMUTĖ ŠLAMIENĖ			-	44. Radviliškio	Išsikėlė pati	I	0	5097	49400	0	0	2161,23	14	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101730.0%26rnkId%3D426			
1191	GINTARAS ŠLEŽAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	9	-			I	31198	0	1050	0	0	3649,64	255	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101318.0%26rnkId%3D426			
1192	PAULIUS ŠLIAVAS	12. Lietuvos žaliųjų partija	29	-			I	0	0	0	0	0	35933,53	5390	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104042.0%26rnkId%3D426			
1193	SIGITAS ŠLIAŽAS	7. Lietuvos Respublikos liberalų sąjūdis	52	-	17. Petrašiūnų	7. Lietuvos Respublikos liberalų sąjūdis	I	83950	0	13000	0	42650	30245,32	3984	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103486.0%26rnkId%3D426			
1194	INGA ŠLIKIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	99	-			I	65165	0	0	0	1738	15331,17	2300	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102890.0%26rnkId%3D426			
1195	KAROLIS ŠLIVINSKAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	44	-			I	0	0	0	0	0	878,1	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099922.0%26rnkId%3D426			
1196	RASA ŠNAPŠTIENĖ	1. Lietuvos socialdemokratų partija	54	-	16. Dainavos	1. Lietuvos socialdemokratų partija	I	122696	0	530	0	2580	22098,69	3165	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103766.0%26rnkId%3D426			
1197	KĘSTUTIS ŠNIPAS	8. Darbo partija	74	-	64. Zanavykų	8. Darbo partija	I	54036	5212	4407	0	20833	18219,72	2707	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100564.0%26rnkId%3D426			
1198	JANINA ŠOKAITIENĖ	1. Lietuvos socialdemokratų partija	79	-			I	56674	0	8000	0	12189	17952,45	2631	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103858.0%26rnkId%3D426			
1199	EDMUND ŠOT	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	139	-			I	88794	0	8500	0	0	14958,45	1995	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103260.0%26rnkId%3D426			
1200	STASYS ŠPAKAUSKAS	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	93	-			I	7500	0	300	0	0	4732,76	352	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103120.0%26rnkId%3D426			
1201	ZETA ŠTARKEVIČIENĖ	9. „Drąsos kelias“ politinė partija	31	-	13. Centro-Žaliakalnio	9. „Drąsos kelias“ politinė partija	I	113640	6951	0	0	0	1153,03	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102762.0%26rnkId%3D426			
1202	ADELĖ ŠTELMOKIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	79	-			I	163219	1644	153936	0	0	52854,32	7849	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102632.0%26rnkId%3D426			
1203	DALIA ŠTRAUPAITĖ	3. Lietuvos laisvės sąjunga (liberalai)	19	-			I	22285	0	14000	0	2000	19826,82	2974	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102872.0%26rnkId%3D426			
1204	RAIMONDAS ŠUKYS	3. Lietuvos laisvės sąjunga (liberalai)	25	-	8. Karoliniškių	3. Lietuvos laisvės sąjunga (liberalai)	I	158552	0	4200	0	38226	33354,82	4895	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102812.0%26rnkId%3D426			
1205	LINA ŠUKYTĖ	5. Partija Tvarka ir teisingumas	38	-	23. Danės	5. Partija Tvarka ir teisingumas	I	62732	0	35000	0	38000	14274,09	2114	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102180.0%26rnkId%3D426			
1206	TAMARA ŠUKLINA	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	16	-	20. Baltijos	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	1788	0	2027	0	0	8991,05	1265	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102988.0%26rnkId%3D426			
1207	ARTŪRAS ŠULCAS	7. Lietuvos Respublikos liberalų sąjūdis	30	-	20. Baltijos	7. Lietuvos Respublikos liberalų sąjūdis	I	49058	0	8860	0	28617	26944,88	4016	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103492.0%26rnkId%3D426			
1208	STANISLAVA ŠUMILAITĖ	10. Lietuvos liaudies partija	7	-	19. Aleksoto-Vilijampolės	10. Lietuvos liaudies partija	I	80300	0	0	0	3000	8791,37	1043	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103302.0%26rnkId%3D426			
1209	GINTARAS ŠURKUS	5. Partija Tvarka ir teisingumas	36	-			I	49441	300	26505	0	0	9575,69	1080	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102350.0%26rnkId%3D426			
1210	GINTARAS ŠURNA	7. Lietuvos Respublikos liberalų sąjūdis	74	-			I	261	0	0	0	0	7685,88	906	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103650.0%26rnkId%3D426			
1211	TOMAS ŠVAPLYS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	71	-			I	5000	0	13000	0	45000	14770,6	2000	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104660.0%26rnkId%3D426			
1212	ALGIMANTAS ŠVENTICKAS	3. Lietuvos laisvės sąjunga (liberalai)	86	-			I	80000	0	45000	0	0	26781,27	4017	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102968.0%26rnkId%3D426			
1213	ALDONA ŠVENTICKIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	2	-	3. Antakalnio	3. Lietuvos laisvės sąjunga (liberalai)	I	56000	0	35000	0	0	26129,49	3219	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102798.0%26rnkId%3D426			
1214	TOMAS ŠVILPAUSKAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	14	-			I	47350	0	28000	0	12453	14874,44	2109	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099960.0%26rnkId%3D426			
1215	DAINIUS ŠVIPAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	119	-			I	0	23778	10000	58962	0	1875	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102684.0%26rnkId%3D426			
1216	ELONA ŠVIPIENĖ	10. Lietuvos liaudies partija	11	-	1. Naujamiesčio	10. Lietuvos liaudies partija	I	1500	0	0	0	0	4120,17	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103322.0%26rnkId%3D426			
1217	VAIDAS TALAČKA	6. Lietuvos valstiečių ir žaliųjų sąjunga	108	-			I	36324	0	14180	0	45421	12788,05	1759	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102692.0%26rnkId%3D426			
1218	LEONARD TALMONT	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	138	-	56. Šalčininkų-Vilniaus	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	58569	0	50000	0	0	53774,72	7691	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103014.0%26rnkId%3D426			
1219	ERIKAS TAMAŠAUSKAS	3. Lietuvos laisvės sąjunga (liberalai)	9	-	19. Aleksoto-Vilijampolės	3. Lietuvos laisvės sąjunga (liberalai)	I	65286	584	86980	0	27422	208,98	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102784.0%26rnkId%3D426			
1220	SANDRA TAMAŠAUSKIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	61	-	32. Šilutės	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	28650	0	0	0	0	13033,02	1797	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104186.0%26rnkId%3D426			
1221	RITA TAMAŠUNIENĖ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	1	-	55. Nemenčinės	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	48675	0	25775	0	0	36018	5403	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103012.0%26rnkId%3D426			
1222	MARIJA TAMKEVIČIŪTĖ	12. Lietuvos žaliųjų partija	4	-	12. Verkių	12. Lietuvos žaliųjų partija	I	13728	0	2000	0	0	1971,06	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103980.0%26rnkId%3D426			
1223	ARTŪRAS TAMKUTONIS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	44	-			I	147567	2900	4000	0	0	10836,37	503	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104582.0%26rnkId%3D426			
1224	RAIMONDAS TAMOŠAUSKAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	13	-	20. Baltijos	Lietuvos centro partija	I	74781	12	0	0	27985	25552,18	3408	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104610.0%26rnkId%3D426			
1225	ALFREDA TAMOŠEVIČIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	106	-	40. Telšių	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	48064	0	2000	0	42313	4614,4	437	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104126.0%26rnkId%3D426			
1226	EDITA TAMOŠIŪNAITĖ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	18	-	8. Karoliniškių	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	102000	0	15000	0	0	12918,29	1938	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103032.0%26rnkId%3D426			
1227	GINTARAS TAMOŠIŪNAS	8. Darbo partija	31	-	4. Žirmūnų	8. Darbo partija	I	9566	0	21717	0	0	32958,61	4621	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100618.0%26rnkId%3D426			
1228	RASA TAMOŠIŪNIENĖ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	29	-	54. Molėtų-Širvintų	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	72500	0	1600	0	0	12273,61	1810	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103010.0%26rnkId%3D426			
1229	ANDRIUS TAMULIONIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	120	-			I	435	0	19227	0	0	30950,57	4643	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102686.0%26rnkId%3D426			
1230	DARIUS TAMULIONIS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	20	-	46. Žiemgalos	Lietuvos centro partija	I	1000	94	5266	0	0	12131,17	1807	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104554.0%26rnkId%3D426			
1231	VYTAUTAS TARAILĖ	3. Lietuvos laisvės sąjunga (liberalai)	62	-			I	1768000	0	68410	259100	0	24532,51	3680	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102926.0%26rnkId%3D426			
1232	MAKSIMAS TARASOVAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	46	-			I	0	0	0	0	0	10757,9	1561	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099968.0%26rnkId%3D426			
1233	MARINA TARAŠKEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	86	-			I	43000	0	0	0	9840	10550,35	1412	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103114.0%26rnkId%3D426			
1234	MINDAUGAS TARNAUSKAS	3. Lietuvos laisvės sąjunga (liberalai)	12	-	64. Zanavykų	3. Lietuvos laisvės sąjunga (liberalai)	I	50000	0	5000	0	39388	10247,7	1401	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102844.0%26rnkId%3D426			
1235	ARNOLDAS TAUJANSKAS			-	66. Garliavos	5. Partija Tvarka ir teisingumas	I	135430	0	0	0	26054	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102272.0%26rnkId%3D426			
1236	DANGUOLĖ TAUTVYDIENĖ	10. Lietuvos liaudies partija	4	-	6. Šeškinės	10. Lietuvos liaudies partija	I	92000	0	2000	0	0	8991,19	1049	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103280.0%26rnkId%3D426			
1237	DALIA TEIŠERSKYTĖ	7. Lietuvos Respublikos liberalų sąjūdis	28	-	64. Zanavykų	7. Lietuvos Respublikos liberalų sąjūdis	I	56322	2316	10553	0	2896	35918,7	5388	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103532.0%26rnkId%3D426			
1238	GINTAUTAS TERLECKAS	13. Politinė partija „Lietuvos sąrašas“	4	-	5. Fabijoniškių	13. Politinė partija „Lietuvos sąrašas“	I	135401	0	2000	0	34754	9547,46	1343	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104348.0%26rnkId%3D426			
1239	SERGEJUS TICHOMIROVAS	1. Lietuvos socialdemokratų partija	122	-	56. Šalčininkų-Vilniaus	1. Lietuvos socialdemokratų partija	I	2000	0	1600	0	0	22093,9	3314	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103792.0%26rnkId%3D426			
1240	EDUARD TYŠKEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	121	-			I	2000	0	0	0	0	8882,24	1136	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103152.0%26rnkId%3D426			
1241	VIAČESLAV TITOV			-	20. Baltijos	Išsikėlė pats	I	66000	2900	9300	1880	8221	4097,16	124	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101198.0%26rnkId%3D426			
1242	VILIJA TOLIUŠIENĖ	8. Darbo partija	130	-			I	144000	0	0	0	0	6243,56	304	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101400.0%26rnkId%3D426			
1243	HENRIK TOMAŠEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	77	-			I	104329	0	0	0	0	6495,42	264	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103140.0%26rnkId%3D426			
1244	TOMAS TOMILINAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	47	-	11. Panerių	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	325000	0	0	0	263839	15833,08	2106	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102544.0%26rnkId%3D426			
1245	AIVARAS TRAINOVIČIUS	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	136	-			I	4000	0	0	0	0	12731,78	749	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103186.0%26rnkId%3D426			
1246	KĘSTUTIS TREČIOKAS	5. Partija Tvarka ir teisingumas	14	-	40. Telšių	5. Partija Tvarka ir teisingumas	I	26600	0	46500	0	0	41721,9	6258	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102262.0%26rnkId%3D426			
1247	NERINGA TRINSKIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	33	-	47. Pasvalio-Pakruojo	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	85120	0	4728	0	32982	14144,43	1694	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102424.0%26rnkId%3D426			
1248	RIMANTAS TROTA	8. Darbo partija	51	-	28. Aukštaitijos	8. Darbo partija	I	88263	0	27974	0	0	18634,32	1925	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100588.0%26rnkId%3D426			
1249	AURIMAS TRUNCĖ			-	69. Dzūkijos	Išsikėlė pats	I	348696	0	17728	0	53941	137882,46	3139	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101728.0%26rnkId%3D426			
1250	EDVARD TRUSEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	25	-			I	53350	0	50000	0	0	10401,96	1531	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103098.0%26rnkId%3D426			
1251	EMILIJA TŠETIAK	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	88	-			I	0	0	3000	0	0	7807,54	987	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103112.0%26rnkId%3D426			
